iter	Logloss
0	0.6593273089
1	0.6321837927
2	0.6102940797
3	0.5901905124
4	0.5754975954
5	0.5599885407
6	0.5470772303
7	0.5378282029
8	0.5284064789
9	0.5186901236
10	0.5102683953
11	0.5030142585
12	0.4971960648
13	0.4916842961
14	0.485585569
15	0.4814390853
16	0.4771728308
17	0.4731502686
18	0.4691702291
19	0.4654136019
20	0.4620310836
21	0.4582601914
22	0.4555882842
23	0.4525384492
24	0.4500949753
25	0.4479970108
26	0.4456732309
27	0.4436830034
28	0.4411589698
29	0.4391295776
30	0.4376543722
31	0.4358318664
32	0.43380176
33	0.4324186434
34	0.4309281745
35	0.4295406653
36	0.4281028497
37	0.4269590343
38	0.4246506202
39	0.4233031669
40	0.4218728641
41	0.4204498838
42	0.4195029195
43	0.4182832788
44	0.416918104
45	0.4161186519
46	0.4150432568
47	0.4141220656
48	0.4133250423
49	0.4125231745
50	0.4117054864
51	0.4093429823
52	0.4084322456
53	0.407939828
54	0.4071962067
55	0.4068398183
56	0.4060246647
57	0.4048327244
58	0.4047024522
59	0.4030159196
60	0.4026044574
61	0.4020635967
62	0.4011020189
63	0.4002301574
64	0.3997967869
65	0.3992622515
66	0.398844082
67	0.3979348683
68	0.3976419194
69	0.3971083965
70	0.3967037672
71	0.3963566181
72	0.3957764614
73	0.3953343857
74	0.3947884029
75	0.3943124895
76	0.3927418089
77	0.3924293563
78	0.3921167099
79	0.3917629022
80	0.3914510095
81	0.3911047404
82	0.3898759972
83	0.3886813887
84	0.3884023793
85	0.3880131291
86	0.3876983946
87	0.3868620725
88	0.3863330199
89	0.3859832132
90	0.3856055026
91	0.3852813788
92	0.3850177628
93	0.3846511577
94	0.3841957223
95	0.3839154746
96	0.3836382034
97	0.3832921021
98	0.382483538
99	0.3821337527
