iter	Passed	Remaining
0	2	269
1	5	253
2	7	254
3	10	246
4	12	241
5	15	237
6	17	235
7	21	245
8	24	243
9	26	238
10	29	235
11	31	231
12	34	227
13	36	225
14	39	221
15	41	219
16	44	216
17	46	213
18	49	210
19	52	208
20	54	205
21	56	201
22	59	198
23	61	195
24	64	192
25	66	189
26	68	186
27	71	183
28	73	180
29	76	178
30	78	175
31	81	172
32	83	169
33	86	167
34	88	164
35	91	161
36	93	159
37	95	156
38	98	153
39	100	151
40	103	148
41	105	146
42	108	143
43	110	140
44	112	137
45	115	135
46	117	132
47	120	130
48	122	127
49	124	124
50	127	122
51	129	119
52	132	117
53	134	114
54	137	112
55	139	109
56	141	106
57	144	104
58	145	101
59	148	98
60	150	96
61	152	93
62	155	91
63	157	88
64	160	86
65	162	83
66	164	81
67	167	78
68	169	76
69	172	73
70	174	71
71	176	68
72	179	66
73	181	63
74	184	61
75	186	58
76	189	56
77	191	54
78	193	51
79	196	49
80	198	46
81	200	44
82	203	41
83	205	39
84	207	36
85	210	34
86	212	31
87	215	29
88	217	26
89	219	24
90	222	21
91	224	19
92	226	17
93	229	14
94	231	12
95	233	9
96	236	7
97	238	4
98	240	2
99	243	0
